CONSOLIDATED_ID,REPRESENTATIVE_STOP,STOPS_IN_CLUSTER,NUM_STOPS,LAT,LONG
C91,"CHEUNG SHA WAN STATION/<br>Cheung Sha Wan Station, Cheung Sha Wan Road",758;9225,2,22.336782445,114.15455275
C92,CHEUNG LAI STREET CHEUNG SHA WAN,760;973,2,22.33690772,114.1473742
C93,MEI FOO BBI,739;9564;9258;4215;9256;9257,6,22.336743746666667,114.14034303333334
C94,LAI CHI KOK STATION,956;4211;10000235;10000236;865,5,22.337314322000005,114.14863222
C95,CHEUNG WAH STREET,740;9245,2,22.33865144,114.1522469
C96,CHEUNG SHA WAN STATION,9226;205;742;9227,4,22.3351821225,114.157263675
C97,KIU KIANG STREET SHAM SHUI PO,743;4111;9229,3,22.33261999666667,114.15992936666667
C98,"HONG KONG POLYTECHNIC UNIVERSITY PHASE 8/<br>Hong Kong Polytechnic University Phase 8, Chatham Road North",775,1,22.30645018,114.1800479
C99,"MODEL HOUSING ESTATE/<br>Model Housing Estate, King's Road",3274;10000202;3263;109,4,22.2916121875,114.20793947499999
C100,"NORTH POINT GOVERNMENT PRIMARY SCHOOL/<br>North Point Government Primary School, King's Road",146;12752,2,22.28900876,114.20972194999999
C101,"CITYPLAZA/<br>Cityplaza, King's Road",180;7130,2,22.285733405000002,114.21744045
C102,"ALDRICH BAY ROAD/<br>Aldrich Bay Road, Shau Kei Wan Road",3001,1,22.28031738,114.2253228
C103,"OI YIN STREET/<br>Oi Yin Street, Aldrich Bay Road",12470,1,22.2797659,114.2273117
C104,LOK FU BUS TERMINUS/<br>Lok Fu Estate,4218,1,22.33907738,114.1876689
C105,"H.K. BAPTIST UNIVERSITY/<br>HKBU Shaw Campus, Junction Road",4221,1,22.33917697,114.1826017
C106,"JUNCTION ROAD KOWLOON TONG/<br>Junction Road, Waterloo Road",4223,1,22.33788568,114.1792818
C107,KOWLOON TONG STATION,768;4240;718,3,22.336073556666665,114.1788967
C108,"CHRISTIAN CENTRAL CHURCH/<br>Christian Central Church, Waterloo Road",4224;785,2,22.3317449,114.17876235
C109,"GREENFIELD TERRACE/<br>Greenfield Terrace, Princess Margaret Road",773;780;864;9057,4,22.312925157499997,114.17637695
C110,"QUEEN ELIZABETH HOSPITAL/<br>Queen Elizabeth Hospital, Wylie Road",774;779,2,22.30962899,114.1761076
C111,"PATERSON STREET/<br>Paterson Street, Gloucester Road",3021,1,22.28246468,114.1849864
C112,"ELIZABETH HOUSE/<br>Elizabeth House, Gloucester Road",15;7136;658;3214,4,22.281595602499998,114.18196135
C113,"CARITAS CENTRE/<br>Caritas Centre, Caine Road",246;674;264;1438,4,22.280194382500003,114.154389475
