,STOP_ID,OFF_STOP_ID,TOTAL_PRICE,PATH,new cost,total_distance2,X,Y,longitude,latitude,district,district_encoded
3675,167,122,10.0,"[167, 112, 122]",10.0,24834.8866,842716.0,815421.0,114.23943982872734,22.27763948116564,Eastern,1
3676,170,122,10.0,"[170, 112, 122]",10.0,23567.8809,841894.0,815555.0,114.23146436712724,22.278852465931585,Eastern,1
3677,171,122,10.0,"[171, 112, 122]",10.0,22349.46799,841899.0,815422.0,114.23151241597,22.277651374989752,Eastern,1
3678,172,122,10.0,"[172, 112, 122]",10.0,22174.51086,841862.0,815251.0,114.23115280554894,22.27610725644348,Eastern,1
3679,694,468,9.9,"[694, 684, 345, 468]",5.9,6019.087603,831178.0,814272.0,114.1274892881736,22.2672678472219,Southern,10
3680,683,468,9.9,"[683, 684, 345, 468]",5.9,5982.762844,831223.0,814207.0,114.12792609858998,22.26668098705104,Southern,10
3681,12946,468,9.9,"[12946, 684, 345, 468]",5.9,5847.412568,831371.0,814231.0,114.12936196963534,22.26689814854667,Southern,10
3682,3187,468,9.9,"[3187, 3186, 346, 468]",5.9,5404.792887,831175.0,815070.0,114.12745765260075,22.274474292849604,Southern,10
3683,1469,122,9.8,"[1469, 122]",9.8,4120.682874,835610.0,814349.0,114.17049015276751,22.26797057618404,Wan Chai,14
3684,1470,122,9.8,"[1470, 122]",9.8,3830.439873,835932.0,814515.0,114.17361429707486,22.269469756010498,Wan Chai,14
3685,1471,122,9.8,"[1471, 122]",9.8,3360.91884,836307.0,814372.0,114.17725273861107,22.268178404191183,Wan Chai,14
3686,553,8050,9.7,"[553, 103, 8050]",9.7,21852.74212,841074.0,815381.0,114.2235072504792,22.277283617339133,Eastern,1
3687,10319,8050,9.5,"[10319, 13056, 747, 8050]",5.5,14350.00998,841883.0,815590.0,114.23135775486688,22.279168574048143,Eastern,1
3688,10000106,8050,9.5,"[10000106, 13056, 747, 8050]",5.5,14346.56227,841941.0,815900.0,114.23192163634664,22.281967880468866,Eastern,1
3689,185,8050,9.5,"[185, 13056, 747, 8050]",5.5,14259.47514,841886.0,815796.0,114.23138758611944,22.281028874901672,Eastern,1
3690,169,8050,9.5,"[169, 13056, 747, 8050]",5.5,14259.37028,841886.0,815765.0,114.23138747751014,22.2807489252706,Eastern,1
3691,552,8050,9.5,"[552, 3268, 550, 8050]",5.5,14035.93804,841388.0,815248.0,114.22655358572258,22.276081637988124,Eastern,1
3692,10000125,8050,9.5,"[10000125, 568, 101, 8050]",5.5,13825.37779,841187.0,815220.0,114.22460320209058,22.27582936557044,Eastern,1
3693,912,8050,9.5,"[912, 7130, 104, 8050]",5.5,12696.9399,840643.0,816502.0,114.21932829223516,22.28740810550464,Eastern,1
3694,499,130,9.5,"[499, 489, 130]",7.5,14775.02751,832077.0,812563.0,114.13621616753896,22.25183686709124,Southern,10
3695,497,130,9.5,"[497, 489, 130]",7.5,14765.28125,832055.0,812580.0,114.13600269436596,22.25199033496049,Southern,10
3696,668,130,9.5,"[668, 489, 130]",7.5,14717.54793,831961.0,812748.0,114.1350903212614,22.25350725520257,Southern,10
3697,687,130,9.5,"[687, 489, 130]",7.5,14705.61153,832289.0,812731.0,114.13827242856352,22.253354519885008,Southern,10
3698,498,130,9.5,"[498, 489, 130]",7.5,14660.23841,832026.0,812737.0,114.135720942448,22.253408078597904,Southern,10
3699,13155,130,9.5,"[13155, 489, 130]",7.5,14652.9393,832051.0,812714.0,114.13596353800394,22.2532004344573,Southern,10
3700,496,130,9.5,"[496, 490, 130]",7.5,14637.47,832193.0,812461.0,114.13734177697,22.250916016280154,Southern,10
3701,10000124,130,9.5,"[10000124, 489, 130]",7.5,14592.11564,832173.0,812756.0,114.1371470016148,22.253580015664507,Southern,10
3702,10000304,130,9.5,"[10000304, 489, 130]",7.5,14579.84464,832095.0,812804.0,114.13639016611684,22.254013301065232,Southern,10
3703,1537,122,9.5,"[1537, 3226, 122]",7.5,9245.596702,837569.0,811111.0,114.18949455831688,22.238728904269795,Southern,10
3704,434,122,9.5,"[434, 3226, 122]",7.5,9194.182755,837584.0,810983.0,114.1896399592518,22.237572965276,Southern,10
3705,3091,122,9.5,"[3091, 1538, 122]",7.5,8734.569634,837344.0,811271.0,114.187312075113,22.240173968954352,Southern,10
3706,650,122,9.5,"[650, 1538, 122]",7.5,8601.862765,837530.0,811290.0,114.1891163835872,22.240345425526403,Southern,10
